Group,Term,Seq,WBCValue,LYMValue,MONValue,GRAValue,HGBValue,MCHValue,MCHCValue,RBCValue,MCVValue,HCTValue,RDWValue,RDWaValue,PLTValue,MPVValue,Glucose,Weight Pct,EAE score,ID
HICT,25,,,,,,,,,,,,,,,,,98.28125,0,HICT 2R1L 
HICT,25,,,,,,,,,,,,,,,,,100.4787234,0,HICT 1R2L 
HICT,25,,,,,,,,,,,,,,,,,96.52406417,0,HICT 2R2L 
HICT,25,,,,,,,,,,,,,,,,,92.81914894,0,HICT Full 
NT,25,,,,,,,,,,,,,,,,,91.01010101,0,NT 1R
NT,25,,,,,,,,,,,,,,,,,96.50537634,0,NT 2R
NT,25,,,,,,,,,,,,,,,,,95.6043956,0,NT 3R
NT,25,,,,,,,,,,,,,,,,,80.79812207,0,NT 1L
NT,25,,,,,,,,,,,,,,,,,89.72972973,0,NT 2L
NT,25,,,,,,,,,,,,,,,,,96.48241206,0,NT 1R1L
NT,25,,,,,,,,,,,,,,,,,95.36082474,0,NT 2R1L
NT,25,,,,,,,,,,,,,,,,,108.6294416,0,NT 1R2L
NT,25,,,,,,,,,,,,,,,,,97.85,0,NT 2R2L
NT,25,,,,,,,,,,,,,,,,,96.96969697,0,NT Full
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
